First Term Gpa,Second Term Gpa,First Language,Funding,School,Fast Track,Coop,Residency,Gender,Previous Education,Age Group,High School Average Mark,Math Score,English Grade,FirstYearPersistence
3.35,3.361111,3.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,3.0,80.75,46.0,4.0,1.0
4.131579,3.891304,2.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,6.0,91.36,46.0,8.0,1.0
4.357143,4.409091,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,3.0,85.0,48.0,10.0,1.0
4.076923,4.434783,1.0,2.0,6.0,1.0,2.0,1.0,2.0,2.0,7.0,93.0,36.8,10.0,1.0
4.08,4.175,1.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,7.0,88.34,21.0,9.0,1.0
3.895833,3.857143,1.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,2.0,86.0,21.0,9.0,1.0
2.289474,2.478261,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,75.16,15.0,7.0,1.0
3.16,3.545455,1.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,97.0,38.0,9.0,1.0
3.428571,3.4,3.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,4.0,80.13,43.0,8.0,1.0
3.541667,3.021739,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,90.0,30.0,9.0,1.0
3.904762,2.590909,3.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,76.91,42.0,9.0,1.0
4.285714,4.019231,3.0,5.0,6.0,2.0,2.0,2.0,1.0,1.0,3.0,95.58,49.0,8.0,1.0
3.942308,3.769231,3.0,4.0,6.0,1.0,1.0,2.0,2.0,2.0,3.0,90.95,45.49,4.0,1.0
3.880952,3.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,90.0,43.0,9.0,1.0
3.52,3.391304,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,89.0,40.0,3.0,1.0
3.916667,3.769231,3.0,2.0,6.0,1.0,1.0,1.0,2.0,2.0,7.0,90.88,38.7,10.0,1.0
3.804348,3.565217,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,83.0,39.0,9.0,1.0
4.021739,3.74,1.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,5.0,86.56,37.17,10.0,1.0
3.041667,3.303571,3.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,4.0,79.09,33.96,7.0,1.0
2.421053,1.076923,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,67.0,24.0,7.0,1.0
4.304348,4.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,3.0,97.0,44.0,9.0,1.0
4.238095,3.891304,3.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,6.0,89.28,48.0,10.0,1.0
3.568182,3.148148,3.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,4.0,83.04,44.71,9.0,1.0
4.022727,3.796296,3.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,3.0,89.99,44.13,10.0,1.0
2.416667,3.527778,3.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,74.18,49.0,10.0,1.0
4.434783,4.277778,3.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,99.34,49.0,10.0,1.0
2.090909,1.833333,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,60.0,17.0,3.0,1.0
3.04,3.083333,1.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,4.0,61.0,27.0,9.0,1.0
2.891304,2.788462,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,4.0,79.6,33.85,8.0,1.0
3.55,3.6,1.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,3.0,81.0,37.0,9.0,1.0
0.0,1.45,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,45.0,24.48,2.0,1.0
3.857143,3.568182,3.0,4.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,85.77,38.0,10.0,1.0
3.833333,3.464286,3.0,4.0,6.0,1.0,1.0,2.0,2.0,1.0,3.0,85.1,44.93,8.0,1.0
4.0,3.630435,3.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,81.82,45.0,8.0,1.0
3.227273,3.136364,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,74.0,41.0,8.0,1.0
3.043478,3.166667,3.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,2.0,85.0,38.0,9.0,1.0
3.547619,3.282609,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,3.0,54.0,12.0,8.0,1.0
3.078947,2.636364,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,4.0,68.0,22.0,7.0,1.0
2.722222,2.659091,3.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,76.34,21.0,8.0,1.0
2.55,2.772727,3.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,3.0,77.71,33.66,7.0,1.0
3.5,3.416667,3.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,5.0,80.0,43.0,4.0,1.0
3.06,2.538462,3.0,4.0,6.0,1.0,2.0,2.0,1.0,2.0,3.0,77.38,31.61,8.0,1.0
2.525,2.261905,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,70.36,35.15,10.0,1.0
3.272727,1.5,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,76.0,30.02,7.0,1.0
3.222222,3.448276,3.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,3.0,82.13,34.98,7.0,1.0
2.357143,2.970588,1.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,3.0,81.0,32.0,9.0,1.0
4.194444,4.055556,1.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,3.0,94.0,34.97,9.0,1.0
4.095238,4.222222,1.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,3.0,102.0,35.76,9.0,1.0
3.729167,3.729167,3.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,3.0,85.63,45.0,8.0,1.0
3.08,2.65,3.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,85.0,35.0,7.0,1.0
3.5,2.846154,3.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,6.0,83.26,47.0,4.0,1.0
2.447368,2.394737,3.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,75.07,31.8,7.0,1.0
0.0,0.0,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,72.0,29.0,7.0,1.0
2.9,3.0,1.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,3.0,68.0,31.7,9.0,1.0
2.2,3.125,1.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,6.0,72.44,19.0,9.0,1.0
2.04,1.159091,1.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,3.0,73.0,32.0,9.0,1.0
3.02,2.15,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,3.0,82.0,48.0,9.0,1.0
3.73913,3.809524,3.0,4.0,6.0,2.0,1.0,2.0,2.0,1.0,2.0,92.0,47.0,8.0,1.0
4.5,4.333333,1.0,2.0,6.0,2.0,2.0,1.0,2.0,2.0,3.0,104.0,35.94,9.0,1.0
2.472222,2.65625,3.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,88.0,42.0,10.0,1.0
3.759259,4.019231,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,93.06,45.58,8.0,1.0
4.22,4.136364,1.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,92.0,47.0,9.0,1.0
3.73913,3.571429,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,86.08,44.74,10.0,1.0
3.434783,3.428571,3.0,4.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,81.78,37.0,4.0,1.0
1.535714,1.117647,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,65.17,24.24,8.0,1.0
4.113636,3.977273,3.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,5.0,89.0,46.0,8.0,1.0
3.4,3.090909,3.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,3.0,77.67,41.19,7.0,1.0
2.657895,1.888889,1.0,4.0,6.0,2.0,2.0,2.0,2.0,0.0,3.0,59.33,14.0,8.0,1.0
3.826923,4.347826,1.0,4.0,6.0,1.0,1.0,2.0,2.0,2.0,4.0,92.46,42.81,9.0,1.0
3.28,2.795455,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,84.0,28.0,9.0,1.0
3.75,3.02381,3.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,83.98,46.0,9.0,1.0
2.318182,0.0,1.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,63.0,17.0,9.0,1.0
4.057692,3.73913,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,82.38,46.56,9.0,1.0
3.391304,2.547619,3.0,4.0,6.0,1.0,1.0,2.0,2.0,2.0,3.0,85.07,38.3,9.0,1.0
4.2,4.142857,1.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,83.0,25.0,3.0,1.0
2.73913,2.64,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,71.43,37.94,10.0,1.0
3.694444,3.166667,3.0,4.0,6.0,1.0,2.0,2.0,1.0,2.0,3.0,88.52,43.32,8.0,1.0
2.804348,3.0,3.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,1.0,78.21,42.0,8.0,1.0
3.0,3.153846,3.0,4.0,6.0,1.0,2.0,2.0,2.0,2.0,3.0,84.75,37.07,8.0,1.0
1.071429,0.0,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,71.65,31.0,9.0,1.0
3.565217,4.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,86.0,36.86,9.0,1.0
4.309524,4.190476,1.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,4.0,81.0,39.0,9.0,1.0
2.033333,2.071429,3.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,3.0,72.15,33.99,9.0,1.0
3.047619,3.195652,1.0,2.0,6.0,2.0,1.0,1.0,2.0,2.0,2.0,79.0,34.0,9.0,1.0
3.409091,2.37037,3.0,4.0,6.0,1.0,2.0,2.0,1.0,2.0,3.0,84.05,35.51,8.0,1.0
3.954545,3.045455,3.0,2.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,83.0,35.0,8.0,1.0
